index,high,highTime,low,lowTime,high-low
359,58.0,1618414357.0,55.0,1618414421.0,3.0
361,139.0,1618414455.0,127.0,1618414368.0,12.0
363,41.0,1618414237.0,37.0,1618414450.0,4.0
365,98.0,1618414428.0,68.0,1618412365.0,30.0
371,172.0,1618414281.0,141.0,1618414157.0,31.0
373,260.0,1618414267.0,253.0,1618414391.0,7.0
377,156.0,1618414325.0,152.0,1618414453.0,4.0
379,203.0,1618414455.0,200.0,1618414378.0,3.0
383,750.0,1618414423.0,747.0,1618414415.0,3.0
385,952.0,1618414453.0,946.0,1618414457.0,6.0
389,945.0,1618414245.0,920.0,1618414195.0,25.0
391,1174.0,1618414438.0,1159.0,1618414419.0,15.0
395,690.0,1618414254.0,687.0,1618414206.0,3.0
397,940.0,1618414450.0,940.0,1618414445.0,0.0
401,13.0,1618414329.0,12.0,1618414455.0,1.0
403,15.0,1618412919.0,5.0,1618412390.0,10.0
405,799.0,1618411145.0,806.0,1618413953.0,-7.0
407,154.0,1618413159.0,111.0,1618414303.0,43.0
411,110.0,1618410230.0,110.0,1618414379.0,0.0
413,828.0,1618412394.0,828.0,1618414209.0,0.0
426,14.0,1618414440.0,29.0,1618324467.0,-15.0
428,76.0,1618414449.0,75.0,1618413874.0,1.0
434,169.0,1618414425.0,163.0,1618413551.0,6.0
436,73.0,1618414411.0,74.0,1618413519.0,-1.0
438,70.0,1618414143.0,69.0,1618414118.0,1.0
440,47.0,1618414442.0,47.0,1618414457.0,0.0
442,37.0,1618414447.0,36.0,1618414389.0,1.0
444,147.0,1618414377.0,146.0,1618414453.0,1.0
447,85.0,1618414399.0,85.0,1618414397.0,0.0
449,977.0,1618414339.0,970.0,1618414459.0,7.0
451,11205.0,1618414315.0,11180.0,1618414453.0,25.0
453,149.0,1618414432.0,147.0,1618414449.0,2.0
464,840.0,1618411755.0,610.0,1618413890.0,230.0
526,96.0,1618414413.0,94.0,1618414448.0,2.0
528,415.0,1618410650.0,274.0,1618404708.0,141.0
530,377.0,1618414360.0,289.0,1618414167.0,88.0
532,142.0,1618414396.0,133.0,1618414327.0,9.0
534,445.0,1618414311.0,431.0,1618413893.0,14.0
536,1478.0,1618414435.0,1478.0,1618414452.0,0.0
538,441.0,1618409953.0,464.0,1618100679.0,-23.0
540,5.0,1618410029.0,1.0,1618405661.0,4.0
542,179.0,1618414399.0,176.0,1618413875.0,3.0
544,436.0,1618414439.0,400.0,1618414438.0,36.0
546,386.0,1618413600.0,369.0,1618406925.0,17.0
548,100.0,1618412922.0,299.0,1618412516.0,-199.0
554,5.0,1618414458.0,4.0,1618414421.0,1.0
555,5.0,1618414454.0,4.0,1618414353.0,1.0
556,5.0,1618414457.0,4.0,1618414372.0,1.0
557,5.0,1618414452.0,4.0,1618414225.0,1.0
558,3.0,1618414369.0,3.0,1618414455.0,0.0
559,6.0,1618414429.0,5.0,1618414455.0,1.0
560,187.0,1618414458.0,185.0,1618414451.0,2.0
561,174.0,1618414454.0,173.0,1618414458.0,1.0
562,42.0,1618414453.0,42.0,1618414459.0,0.0
563,117.0,1618414449.0,115.0,1618414431.0,2.0
564,150.0,1618414448.0,150.0,1618414445.0,0.0
565,378.0,1618414455.0,377.0,1618414459.0,1.0
566,145.0,1618414455.0,145.0,1618414443.0,0.0
567,104.0,1618414371.0,101.0,1618414456.0,3.0
569,1159.0,1618414255.0,1087.0,1618414374.0,72.0
571,1294.0,1618414254.0,1272.0,1618414414.0,22.0
573,1037.0,1618414402.0,1031.0,1618414377.0,6.0
575,1036.0,1618413676.0,1030.0,1618414367.0,6.0
577,816.0,1618414318.0,804.0,1618414221.0,12.0
579,112.0,1618413764.0,103.0,1618414366.0,9.0
581,379.0,1618414253.0,300.0,1618414108.0,79.0
590,69.0,1618414428.0,32.0,1618413801.0,37.0
592,57.0,1618414451.0,57.0,1618414445.0,0.0
596,1.0,1618413837.0,10.0,1618406198.0,-9.0
621,1500.0,1618254894.0,158.0,1618353905.0,1342.0
626,508.0,1618412125.0,300.0,1618379043.0,208.0
628,707.0,1618414312.0,700.0,1618413973.0,7.0
630,681.0,1618413041.0,111.0,1618388469.0,570.0
632,150.0,1618409807.0,428.0,1618365966.0,-278.0
634,2000.0,1618393951.0,515.0,1618409673.0,1485.0
636,600.0,1618414438.0,1000.0,1618409362.0,-400.0
638,1000.0,1618413057.0,766.0,1618413284.0,234.0
640,347.0,1618414069.0,96.0,1618380205.0,251.0
642,444.0,1618412187.0,20.0,1618404552.0,424.0
644,1.0,1618393929.0,210.0,1618349131.0,-209.0
646,1000.0,1618406617.0,1000.0,1618412925.0,0.0
648,367.0,1618411469.0,60.0,1618384709.0,307.0
650,336.0,1618394701.0,345.0,1618272072.0,-9.0
652,1.0,1618391838.0,1.0,1618405689.0,0.0
654,2000.0,1618413906.0,100.0,1618411005.0,1900.0
656,1300.0,1618411387.0,1004.0,1618412763.0,296.0
658,599.0,1618414325.0,300.0,1618414417.0,299.0
660,968.0,1618390205.0,705.0,1618413018.0,263.0
662,380.0,1618414041.0,310.0,1618413046.0,70.0
664,700.0,1618393901.0,389.0,1618409676.0,311.0
751,3500.0,1618412406.0,3005.0,1618409733.0,495.0
753,116.0,1618413959.0,101.0,1618412603.0,15.0
800,999.0,1618327184.0,2.0,1618362505.0,997.0
801,299.0,1618327194.0,37.0,1618343337.0,262.0
802,5000.0,1618345086.0,40.0,1618183668.0,4960.0
803,108.0,1618366517.0,2.0,1618218161.0,106.0
804,304.0,1618407962.0,1000.0,1618322462.0,-696.0
805,207.0,1618414448.0,196.0,1618414346.0,11.0
806,18.0,1618414438.0,19.0,1618412031.0,-1.0
807,8.0,1618414046.0,5.0,1618414441.0,3.0
808,3.0,1618414302.0,2.0,1618413760.0,1.0
809,7.0,1618414419.0,6.0,1618414448.0,1.0
810,94.0,1618414443.0,95.0,1618414449.0,-1.0
811,927.0,1618414457.0,924.0,1618414442.0,3.0
812,1495.0,1618338709.0,25.0,1618269543.0,1470.0
813,1700.0,1618338676.0,700.0,1617966610.0,1000.0
814,33.0,1618414396.0,40.0,1618000299.0,-7.0
815,81.0,1618281110.0,60.0,1618353255.0,21.0
816,103.0,1618414012.0,103.0,1618414266.0,0.0
817,948.0,1618414286.0,925.0,1618414294.0,23.0
819,38.0,1618414236.0,32.0,1618414371.0,6.0
820,25.0,1618414418.0,27.0,1618413524.0,-2.0
821,51.0,1618414423.0,51.0,1618413084.0,0.0
822,75.0,1618414219.0,74.0,1618414223.0,1.0
823,192.0,1618414366.0,195.0,1618414299.0,-3.0
824,1210.0,1618414326.0,1205.0,1618414427.0,5.0
825,1.0,1618412361.0,1.0,1618344567.0,0.0
826,1.0,1618413502.0,1.0,1618326900.0,0.0
827,2.0,1618402600.0,8.0,1618352077.0,-6.0
828,21.0,1618411330.0,21.0,1618411641.0,0.0
829,76.0,1618414149.0,74.0,1618414266.0,2.0
830,165.0,1618413316.0,173.0,1618414437.0,-8.0
831,1234.0,1618362338.0,1234.0,1618362337.0,0.0
832,5000.0,1618362155.0,5000.0,1618362155.0,0.0
833,1337.0,1618341589.0,10.0,1616866468.0,1327.0
834,1337.0,1618376849.0,2.0,1617736387.0,1335.0
835,1777.0,1618337293.0,186.0,1617662085.0,1591.0
836,9900.0,1618344418.0,9900.0,1618344417.0,0.0
